sc_ra,sc_dec,sc_poserr,sc_det_ml,sc_ep_1_flux,sc_ep_2_flux,sc_ep_3_flux,sc_ep_4_flux,sc_ep_5_flux,sc_ep_8_flux,sc_ep_9_flux,sc_hr1,sc_hr2,sc_hr3,sc_hr4,sc_extent,sc_ep_8_fmin,sc_ep_8_fmax,Class
337.2720149,61.23554368,0.8053687,320.2565,3.56E-16,1.10E-14,3.75E-14,1.12E-13,3.01E-13,4.61E-13,2.78E-13,0.9266401,0.4235249,-0.00384416,-0.1136699,0,4.61E-13,4.61E-13,1
354.9114358,-5.55148793,0.35187408,5655.581,1.34E-14,2.54E-14,3.02E-14,5.51E-14,1.35E-13,2.59E-13,1.07E-13,0.31518102,0.15176806,-0.19521733,-0.33745784,0,2.53E-13,2.73E-13,1
195.3688061,-63.17802105,1.0491614,77.51801,2.48E-16,1.48E-15,1.83E-15,3.16E-16,1.02E-16,4.73E-15,5.25E-15,0.5934584,0.08434492,-0.84485,0.24129564,0,4.54E-15,2.05E-14,1
126.7145479,26.62255789,0.32237232,728.146,2.96E-15,3.63E-15,3.84E-15,2.65E-15,9.27E-16,1.43E-14,1.17E-14,0.1392901,-0.07790399,-0.6327752,-0.6838909,0,6.23E-15,2.30E-13,1
283.1942145,0.554984028,0.30877492,31158.16,1.58E-15,3.09E-15,1.04E-13,5.17E-13,5.92E-13,1.25E-12,4.39E-13,0.35991794,0.9341006,0.39732763,-0.6105365,0,5.95E-13,7.28E-12,1
114.4635417,-30.66130135,0.1859042,6803.353,1.44E-14,1.36E-14,6.63E-15,2.77E-15,1.73E-15,4.07E-14,3.03E-14,-0.058092065,-0.40090585,-0.74634033,-0.6101647,0,3.94E-14,4.27E-14,1
98.475901,17.77058543,0.3230485,234524.6,5.25E-13,1.00E-13,9.46E-14,1.22E-13,1.87E-13,1.02E-12,3.46E-13,-0.70774025,-0.08958772,-0.37440243,-0.46358392,0,9.72E-13,1.08E-12,1
110.1038546,-31.43050929,0.12584586,2410000,5.18E-12,2.54E-12,1.08E-13,6.90E-16,3.81E-16,7.90E-12,3.48E-12,-0.37522563,-0.92334366,-0.9945973,-0.74275565,0,7.37E-12,8.99E-12,1
15.17933321,-72.19261636,0.13641956,18799.01,2.29E-14,1.03E-13,1.84E-13,1.16E-13,3.32E-14,4.65E-13,4.65E-13,0.6351868,0.21622576,-0.6389329,-0.8654791,0,4.35E-13,5.00E-13,1
31.40743398,64.8281484,0.226802,181932.5,5.91E-14,7.65E-13,2.57E-12,4.15E-12,5.83E-12,1.34E-11,6.52E-12,0.8456662,0.5039353,-0.28270108,-0.4723192,19.01167,1.16E-11,1.51E-11,1
84.4457387,-69.17170819,0.23723948,284367.8,3.74E-14,5.98E-13,2.01E-12,2.87E-12,4.52E-12,1.01E-11,4.84E-12,0.8846513,0.5444378,-0.3206885,-0.46982095,0,8.57E-12,1.12E-11,1
128.8353182,-45.17575998,0.4210383,12800000,1.29E-11,1.54E-11,1.57E-11,2.40E-11,3.98E-11,1.08E-10,5.46E-11,0.06279722,-0.08613343,-0.30293402,-0.4100677,7.9132285,1.03E-10,1.15E-10,1
182.5038037,-52.44127539,0.10390657,894602.7,3.45E-13,8.47E-13,9.36E-13,2.19E-13,3.10E-15,2.35E-12,2.66E-12,0.398389,-0.007967905,-0.8476795,-0.9927732,0,2.28E-12,2.44E-12,1
272.8720557,-19.42469389,0.47731122,153429.6,2.32E-15,1.60E-14,2.47E-13,3.87E-12,9.19E-12,1.89E-11,7.43E-12,0.83030355,0.9299818,-0.28297588,-0.50637025,40.40244,4.07E-12,2.33E-11,1
